id,category_id,brand_id,name,slug,sku,description,price,original_price,stock,rating,reviews_count,shipping,warranty,badge,thumbnail,is_best_seller,is_trending,is_flash_deal,is_active,deal_ends_at,created_at,updated_at
48c6fc2c-6ccd-4d71-a909-112f1bae8e66,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,67381acd-c42c-47dc-aff8-023b0f58f5ab,Sartorial Double-Breasted Trench,merino-trench-coat,AUR-FAS-001,"A masterful reinterpretation of the classic trench coat, tailored in Italy from water-repellent organic cotton and fine merino wool.",495,580,18,4.9,48,Free express shipping,2-year craftsmanship care,Seasonal Icon,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=900,true,true,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
c3ea9ca6-2d59-4b36-b344-186a9d60f7bc,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,67381acd-c42c-47dc-aff8-023b0f58f5ab,Deconstructed Linen-Wool Blazer,italian-linen-blazer,AUR-FAS-002,An unlined blazer prioritizing breathability and relaxed elegance with unstructured shoulders and clean patch pockets.,320,,21,4.8,32,,,Limited Release,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?q=80&w=900,true,false,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
52f8d2b0-ce95-444a-ba77-3093738d33e6,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,aa899c16-9ca1-47e5-9ef9-559f537ba85d,Grade-A Mongolian Cashmere Sweater,cashmere-crewneck,AUR-FAS-003,"Knitted from 12-gauge, two-ply Mongolian cashmere with a soft handfeel and enduring structure.",260,,36,5,64,,,Must Have,https://images.unsplash.com/photo-1614975058789-41316d0e2e9c?q=80&w=900,false,true,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
868859cf-237a-4923-89a4-10bdcfd8569a,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,67381acd-c42c-47dc-aff8-023b0f58f5ab,Sartorial Pleated Wool Trouser,tailored-wool-trouser,AUR-FAS-004,"A draped trouser with forward pleats, waistband tabs, and a tailoring-ready unfinished hem.",185,,27,4.7,29,,,,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?q=80&w=900,false,false,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
39e33e14-e9e1-4dbb-b836-ea709d520013,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,67381acd-c42c-47dc-aff8-023b0f58f5ab,Classic Oxford Tailored Shirt,organic-cotton-shirt,AUR-FAS-005,A foundational shirt rendered from long-staple organic Egyptian cotton with a structured oxford weave.,110,,58,4.8,112,,,Eco-Conscious,https://images.unsplash.com/photo-1603252109303-2751441dd157?q=80&w=900,true,false,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
c68e55d5-fbda-482d-8cf3-25cfa45f6a90,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,d69899fd-b34c-4956-b8e1-8643c8d090ab,Italian Aviator Shearling Flight Jacket,shearling-jacket,AUR-FAS-006,Handmade from heavyweight Italian lamb shearling suede with dense insulating wool inside.,850,995,9,4.9,14,,,Heritage Masterpiece,https://images.unsplash.com/photo-1617137968427-85924c800a22?q=80&w=900,false,false,true,true,2026-07-05,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
e55f9b31-952b-44be-bf00-58cc2fcf6bf8,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,aa899c16-9ca1-47e5-9ef9-559f537ba85d,Rib-Knit Cashmere Tapered Pant,cashmere-lounge-pant,AUR-FAS-007,"Soft knitted trousers with a braided drawstring waistband, side pockets, and rib-knit cuffs.",210,,25,4.6,19,,,,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=900,false,false,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
a543df41-0309-416c-beff-307f8057bed8,1b10ba14-f61d-4b3d-a29b-a7d9a1e47455,d69899fd-b34c-4956-b8e1-8643c8d090ab,Handcrafted Chelsea Tuscan Boot,tuscan-leather-boot,AUR-FAS-008,A sleek Chelsea boot shaped from supple hand-burnished calf leather with a durable Goodyear welt.,340,,31,4.9,57,,,Craft Favorite,https://images.unsplash.com/photo-1608256246200-53e635b5b65f?q=80&w=900,true,false,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
ce866812-4073-4b30-9612-db64f0564407,99daba58-8571-4f0c-8985-bdf6ee8bf0d8,8ce2e860-2728-4688-9ec7-430a5324ccde,NovaTech SoundCore Pro ANC Headphones,novatech-soundcore-pro,NOV-ELC-101,"Hybrid active noise-cancelling headphones with 42-hour battery life, spatial audio, and soft memory foam cushions.",249,319,124,4.8,681,Free 2-day delivery,1-year limited warranty,Flash Deal,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=900,true,true,true,true,2026-07-01,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
063f3fd9-ac60-4066-87f5-942a8fb02b47,99daba58-8571-4f0c-8985-bdf6ee8bf0d8,dcd9d5af-8bf5-4d28-a503-69819aa1acfa,Luma Home Hub 10 Smart Display,luma-home-hub,LUM-ELC-205,"A responsive smart display for video calls, recipes, dashboards, and connected-home control.",189,,76,4.6,308,,,,https://images.unsplash.com/photo-1558089687-f282ffcbc126?q=80&w=900,false,true,false,true,,2026-06-30T15:03:42.803Z,2026-06-30T15:03:42.803Z
